kausi;lohko;nimi;O;M;S;P;J;VM;YV;AV;RL-;RL+;SR;TV;H;TM;IM
2017-2018;IV-DIV;Ville Mettälä;17;0;0;0;0;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Tuukka Mettälä;17;0;8;8;1;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Henrik Lehtonen;17;2;2;4;1;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Sami Pöllänen;17;7;5;12;1;1;1;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Atte Nieminen;17;1;0;1;0;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Kaj Engblom;17;7;9;16;2;-;1;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Jesse Höykinpuro;17;7;3;10;1;2;1;-;-;-;-;-;-;1;
2017-2018;IV-DIV;Robin Mattila;17;5;4;9;0;-;-;-;-;-;-;-;-;-;
2017-2018;IV-DIV;Lassi Liukkonen;17;0;0;0;0;-;-;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Joni Vainio;16;7;1;8;0;1;1;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Ville Koivisto;16;16;8;24;4;2;1;-;-;-;-;-;1;-;
2016-2017;IV-DIV;Matias Mäkilä;16;7;2;9;0;0;0;-;-;-;-;-;1;1;
2016-2017;IV-DIV;Mauri Kurri;16;2;1;3;1;0;1;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Miika Oja-Nisula;16;8;6;14;2;0;0;1;-;-;-;-;-;-;
2016-2017;IV-DIV;Mika Aaltonen;16;9;4;13;1;0;2;-;-;-;-;-;1;-;
2016-2017;IV-DIV;Jarno Peltola;16;3;9;12;9;2;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Ville Mettälä;16;3;2;5;0;0;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Tuukka Mettälä;16;0;5;5;2;0;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Henrik Lehtonen;16;2;2;4;0;0;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Sami Pöllänen;16;2;7;9;3;0;1;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Atte Nieminen;16;2;1;3;2;1;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Kaj Engblom;16;4;9;13;3;0;0;-;-;-;-;-;-;-;
2016-2017;IV-DIV;Jesse Höykinpuro;16;3;3;6;6;0;1;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Joni Vainio;20;12;4;16;1;2;0;-;;1;-;-;1;-;
2015-2016;IV-DIV;Ville Koivisto;20;19;12;31;2;0;4;-;-;-;-;-;2;-;
2015-2016;IV-DIV;Matias Mäkilä;20;8;2;10;0;0;0;-;1;-;-;-;-;-;
2015-2016;IV-DIV;Mauri Kurri;20;3;1;4;2;1;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Miika Oja-Nisula;20;4;4;8;1;0;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Mika Aaltonen;20;11;14;25;1;4;1;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Jarno Peltola;20;6;15;21;0;0;1;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Ville Mettälä;20;0;5;5;0;0;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Tuukka Mettälä;20;3;4;7;0;0;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Henrik Lehtonen;20;2;4;6;1;0;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Sami Pöllänen;20;3;2;5;2;0;0;-;-;-;-;-;-;-;
2015-2016;IV-DIV;Atte Nieminen;20;10;3;13;0;0;0;-;-;-;-;-;1;-;
2015-2016;IV-DIV;Kaj Engblom;20;6;7;13;2;0;0;-;1;-;-;-;-;-;
2014-2015;IV-DIV;Timo Suominen;3;0;1;1;0;-;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Samuli Sutinen;18;2;2;4;0;-;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Kaj Engblom;18;25;20;45;2;2;3;-;1;1;-;-;3;-;
2014-2015;IV-DIV;Atte Nieminen;16;6;4;10;0;1;1;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Ville Koivisto;18;11;7;18;33;2;1;-;-;-;-;-;1;-;
2014-2015;IV-DIV;Mauri Kurri;18;2;2;4;2;1;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Mika Aaltonen;16;13;8;21;2;-;-;-;-;-;-;1;2;-;
2014-2015;IV-DIV;Jarno Peltola;18;5;11;16;0;-;-;-;-;-;-;-;-;1;
2014-2015;IV-DIV;Sampo Suvitie;10;0;1;1;0;-;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Sami Pöllänen;17;5;1;6;2;2;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Tuukka Mettälä;15;4;8;12;2;-;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Ville Mettälä;14;4;3;7;0;1;-;-;-;-;-;-;1;-;
2014-2015;IV-DIV;Henrik Lehtonen;15;1;3;4;2;1;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Miika Oja-Nisula;14;5;3;8;0;1;-;-;-;-;-;-;1;-;
2014-2015;IV-DIV;Jussi Uusi-Mikkola;9;1;2;3;12;-;-;-;-;-;-;-;-;-;
2014-2015;IV-DIV;Ville Rinnola;16;4;5;9;2;-;-;-;-;-;-;-;-;1;
2014-2015;IV-DIV;Matias Mäkilä;16;6;1;7;0;1;-;-;-;-;1;-;-;-;
2013-2014;IV-DIV;Timo Suominen;2;0;0;0;0;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Samuli Sutinen;10;2;5;7;2;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Kaj Engblom;15;16;21;37;2;1;-;-;;1;1;-;1;-;
2013-2014;IV-DIV;Atte Nieminen;13;10;4;14;8;1;-;-;-;-;;-;1;-;
2013-2014;IV-DIV;Ville Koivisto;17;18;15;33;12;4;3;-;-;-;-;-;2;1;
2013-2014;IV-DIV;Mauri Kurri;8;1;3;4;0;-;-;-;-;-;-;-;-;-;
2013-2014;IV-DIV;Mika Aaltonen;13;16;3;19;6;1;2;1;-;-;1;1;1;-;
2013-2014;IV-DIV;Sampo Suvitie;5;1;2;3;0;-;-;-;-;-;-;-;-;-;
